country_name,year,civicus_score,civicus_rating
San Marino,2023,96.9,Open
San Marino,2024,97.0,Open
San Marino,2025,93.81,Open
Sao Tome and Principe,2023,82.15,Open
Sao Tome and Principe,2024,82.0,Open
Sao Tome and Principe,2025,88.2,Open
Saudi Arabia,2022,14.23,Closed
Saudi Arabia,2023,3.94,Closed
Saudi Arabia,2024,4.0,Closed
Saudi Arabia,2025,4.69,Closed
Senegal,2022,49.8,Obstructed
Senegal,2023,31.04,Repressed
Senegal,2024,40.0,Repressed
Senegal,2025,46.91,Obstructed
Serbia,2023,55.94,Obstructed
Serbia,2024,49.0,Obstructed
Serbia,2025,38.15,Repressed
Seychelles,2023,75.57,Narrowed
Seychelles,2024,75.0,Narrowed
Seychelles,2025,80.0,Narrowed
Sierra Leone,2022,51.61,Obstructed
Sierra Leone,2023,46.56,Obstructed
Sierra Leone,2024,48.0,Obstructed
Sierra Leone,2025,44.22,Obstructed
Singapore,2022,38.81,Repressed
Singapore,2023,28.38,Repressed
Singapore,2024,31.0,Repressed
Singapore,2025,30.49,Repressed
Slovakia,2023,80.33,Narrowed
Slovakia,2024,79.0,Narrowed
Slovakia,2025,67.15,Narrowed
Slovenia,2023,70.39,Narrowed
Slovenia,2024,84.0,Open
Slovenia,2025,85.06,Open
Solomon Islands,2023,67.55,Narrowed
Solomon Islands,2024,69.0,Narrowed
Solomon Islands,2025,69.0,Narrowed
Somalia,2022,28.88,Repressed
Somalia,2023,29.48,Repressed
Somalia,2024,28.0,Repressed
Somalia,2025,28.18,Repressed
Somaliland,2023,34.66,Repressed
Somaliland,2024,40.0,Repressed
Somaliland,2025,33.73,Repressed
South Africa,2022,59.4,Obstructed
South Africa,2023,54.82,Obstructed
South Africa,2024,60.0,Obstructed
South Africa,2025,59.79,Obstructed
South Korea,2023,78.86,Narrowed
South Korea,2024,73.0,Narrowed
South Korea,2025,72.93,Narrowed
South Sudan,2022,20.92,Repressed
South Sudan,2023,25.15,Repressed
South Sudan,2024,25.0,Repressed
South Sudan,2025,21.0,Repressed
Spain,2023,69.14,Narrowed
Spain,2024,72.0,Narrowed
