iso3,Accountability,Economic and fiscal governance,Political foundations,Rule of law,State capacity
QAT,0.27442598111890504,0.4633939327710195,0.49033757158326663,0.5218818271909992,0.5764786953942025
ROU,0.525540674391773,0.5843226358694862,0.5763459697192688,0.5630697301614898,0.5886348757292208
RUS,0.26958746991205534,0.43122250183076144,0.35184641751727885,0.33089317156709736,0.5121841685172241
RWA,0.36185486947520634,0.3958918479218033,0.38765166641465065,0.4601418250560541,0.49269468114202364
SAU,0.2395223682177498,0.44090913152978395,0.4056134194209777,0.44443753082408755,0.5560948761645151
SDN,0.26905165363311606,0.30045094907508574,0.22203232151796648,0.24722230770727913,0.2374569142554605
SEN,0.5500056543166153,0.45718769433907314,0.5564929235661377,0.5425972458325935,0.5040002130525288
SGP,0.45996270663077893,0.6459458938386943,0.6212398113816808,0.7025677874973753,0.7100143746193095
SLB,0.5195056881333203,0.38324571144097563,0.5359754158748891,0.5430920782612335,0.3908205125627484
SLE,0.5316005821446154,0.4196879454271843,0.5031720933815832,0.44415660275069735,0.44858273778436386
SLV,0.3778218499021465,0.4726511537407627,0.4624423429446984,0.3540430661316496,0.47408828144156556
SMR,0.6348421609561556,0.4990641331520597,0.592103890323401,0.8467319923867516,0.4907981029386285
SOM,0.35455049607233036,0.4211252748952633,0.36932926722677184,0.2899186999644203,0.28414062401999346
SRB,0.4431304414048246,0.5709658856739561,0.48247525597612,0.4703287968472843,0.5530849953327791
SSD,0.2780990662085158,0.22468438045802705,0.26939088874571626,0.20896882361115804,0.17565587525238546
STP,0.5413756123321146,0.3688785152251053,0.5129800087591317,0.5542373676601103,0.4698129569008292
SUR,0.5578684788202212,0.36404260876426603,0.5216913361495665,0.5424915014984045,0.4497231739697167
SVK,0.5618987915390388,0.6351618139571432,0.5615498098113699,0.5983213203285269,0.6238211978325224
SVN,0.625881366670642,0.6086487704101661,0.6110238601029453,0.6121326379206746,0.6440677235092328
SWE,0.7118158717506434,0.6946486093973,0.6644941218034082,0.7472028032945834,0.7022908216552393
SWZ,0.3059784980725847,0.3427581525900979,0.4533798025514716,0.34555989218216926,0.4351113873327711
SXM,0.503755868544601,0.20608750239567586,0.5457746478873239,,0.7378373413127247
SYC,0.6098390963496546,0.48502857075376293,0.5629638645704608,0.6153144365118439,0.5672591953874786
SYR,0.26779521046455257,0.2763767069838658,0.32628048329923176,0.3268644627683153,0.2658836440476882
TCA,0.503755868544601,0.36741057827122514,0.5457746478873239,0.0017978425888933,0.719069984824846
TCD,0.30491173750175055,0.36434644177388914,0.23499844791360194,0.2895123827467705,0.2614817893569918
TGO,0.4117283976856845,0.4291452417958551,0.4312560288516608,0.4277559987845202,0.41791263471355733
THA,0.46077310291883433,0.4945468034585538,0.39551639398087446,0.4214444813885899,0.5326637348082177
TJK,0.25461198408502855,0.4001472956453648,0.39601013187979994,0.3231943857668501,0.4219317017480029
TLS,0.5578628861389494,0.41546061425719233,0.5410935581543284,0.5177746679401432,0.4505926574901476
TON,0.5004231446520113,0.36612001735490296,0.5871396390351598,0.6447870255953135,0.4914698346427815
TTO,0.6018392523099519,0.45590170349244336,0.5533348322734959,0.5503638272470526,0.474942128884015
TUN,0.4355051667422039,0.4343495399992248,0.5007656080914475,0.5048183380579856,0.4946100565399885
