iso3,concept_id,bucket,subtotal,w_nominal,w_renorm,contribution,n_present,present
KGZ,8,monetary,0.6268606779948447,0.4,0.4,0.2507442711979379,2,True
KHM,8,external,0.4959120404743738,0.2,0.2,0.09918240809487477,4,True
KHM,8,fiscal,0.38287576974535253,0.4,0.4,0.15315030789814102,7,True
KHM,8,monetary,0.5519500833833734,0.4,0.4,0.22078003335334936,2,True
KIR,8,external,0.2864004290927228,0.2,0.3333333333333333,0.09546680969757426,4,True
KIR,8,fiscal,0.21305618500969645,0.4,0.6666666666666666,0.14203745667313095,4,True
KIR,8,monetary,,0.4,0.0,0.0,0,False
KNA,8,external,0.5271850946132003,0.2,0.2,0.10543701892264007,4,True
KNA,8,fiscal,0.18565573770491797,0.4,0.4,0.07426229508196719,2,True
KNA,8,monetary,0.3693426061114036,0.4,0.4,0.14773704244456146,2,True
KOR,8,external,0.6587888417561172,0.2,0.2,0.13175776835122344,4,True
KOR,8,fiscal,0.6910239277208413,0.4,0.4,0.2764095710883365,1,True
KOR,8,monetary,0.5981820558483318,0.4,0.4,0.23927282233933275,2,True
KWT,8,external,0.48157939370328506,0.2,0.3333333333333333,0.16052646456776168,4,True
KWT,8,fiscal,,0.4,0.0,0.0,0,False
KWT,8,monetary,0.49347092979551227,0.4,0.6666666666666666,0.32898061986367483,2,True
LAO,8,external,0.3993692114140508,0.2,0.2,0.07987384228281016,4,True
LAO,8,fiscal,0.3724782643221867,0.4,0.4,0.1489913057288747,2,True
LAO,8,monetary,0.42926071919285896,0.4,0.4,0.1717042876771436,2,True
LBN,8,external,0.44238722546229053,0.2,0.2,0.08847744509245811,4,True
LBN,8,fiscal,0.3085339268658679,0.4,0.4,0.12341357074634716,1,True
LBN,8,monetary,0.3893489764888775,0.4,0.4,0.155739590595551,2,True
LBR,8,external,0.7402261595937544,0.2,0.2,0.14804523191875088,4,True
LBR,8,fiscal,0.3973129201783552,0.4,0.4,0.15892516807134208,7,True
LBR,8,monetary,0.5399346541481084,0.4,0.4,0.21597386165924337,1,True
LBY,8,external,0.30219695101201166,0.2,0.3333333333333333,0.10073231700400388,4,True
LBY,8,fiscal,,0.4,0.0,0.0,0,False
LBY,8,monetary,0.3904398874140646,0.4,0.6666666666666666,0.26029325827604305,1,True
LCA,8,external,0.3802860392861948,0.2,0.2,0.07605720785723896,4,True
LCA,8,fiscal,0.18565573770491797,0.4,0.4,0.07426229508196719,2,True
LCA,8,monetary,0.3651731662759164,0.4,0.4,0.14606926651036656,1,True
LKA,8,external,0.229326086746763,0.2,0.2,0.0458652173493526,4,True
LKA,8,fiscal,0.4648110830538816,0.4,0.4,0.18592443322155264,5,True
LKA,8,monetary,0.6305950538532129,0.4,0.4,0.25223802154128516,2,True
LSO,8,external,0.4879728526372323,0.2,0.2,0.09759457052744647,4,True
LSO,8,fiscal,0.45703234689624306,0.4,0.4,0.18281293875849725,3,True
LSO,8,monetary,0.3776814857823782,0.4,0.4,0.15107259431295128,1,True
LTU,8,external,0.5845357554325289,0.2,0.2,0.11690715108650579,4,True
LTU,8,fiscal,0.8567809824470434,0.4,0.4,0.3427123929788174,4,True
LTU,8,monetary,0.7377159007976118,0.4,0.4,0.2950863603190447,2,True
LUX,8,external,0.6146011791615507,0.2,0.2,0.12292023583231014,3,True
LUX,8,fiscal,0.7355873374788017,0.4,0.4,0.2942349349915207,3,True
LUX,8,monetary,0.7377159007976118,0.4,0.4,0.2950863603190447,2,True
LVA,8,external,0.5881088802578144,0.2,0.2,0.11762177605156288,4,True
LVA,8,fiscal,0.8567809824470434,0.4,0.4,0.3427123929788174,4,True
LVA,8,monetary,0.74429529897488,0.4,0.4,0.29771811958995203,2,True
MAC,8,external,0.5917020788180732,0.2,1.0,0.5917020788180732,3,True
MAC,8,fiscal,,0.4,0.0,0.0,0,False
MAC,8,monetary,,0.4,0.0,0.0,0,False
MAR,8,external,0.477213330691429,0.2,0.2,0.09544266613828581,4,True
MAR,8,fiscal,0.49121353945482615,0.4,0.4,0.19648541578193046,6,True
MAR,8,monetary,0.5646867153406743,0.4,0.4,0.2258746861362697,2,True
MDA,8,external,0.43498825482975984,0.2,0.2,0.08699765096595197,4,True
MDA,8,fiscal,0.7019648694856157,0.4,0.4,0.28078594779424626,3,True
MDA,8,monetary,0.694769166175374,0.4,0.4,0.2779076664701496,2,True
MDG,8,external,0.3886096894682474,0.2,0.3333333333333333,0.12953656315608247,4,True
MDG,8,fiscal,0.34735887791337483,0.4,0.6666666666666666,0.23157258527558322,3,True
MDG,8,monetary,,0.4,0.0,0.0,0,False
MDV,8,external,0.5030984375948917,0.2,0.2,0.10061968751897835,4,True
MDV,8,fiscal,0.43990683284246024,0.4,0.4,0.1759627331369841,6,True
MDV,8,monetary,0.3225355743552913,0.4,0.4,0.12901422974211652,1,True
MEX,8,external,0.4794063990648438,0.2,0.2,0.09588127981296876,4,True
MEX,8,fiscal,0.6565250453468047,0.4,0.4,0.26261001813872187,4,True
MEX,8,monetary,0.5194488765887492,0.4,0.4,0.2077795506354997,2,True
MHL,8,external,0.37056488602040516,0.2,0.3333333333333333,0.12352162867346839,4,True
MHL,8,fiscal,0.5344354953545241,0.4,0.6666666666666666,0.3562903302363494,4,True
MHL,8,monetary,,0.4,0.0,0.0,0,False
MKD,8,external,0.4421545782153042,0.2,0.2,0.08843091564306084,4,True
MKD,8,fiscal,0.5247860436642018,0.4,0.4,0.20991441746568074,3,True
MKD,8,monetary,0.664826422231188,0.4,0.4,0.26593056889247524,2,True
MLI,8,external,0.49873237458303565,0.2,0.2,0.09974647491660714,4,True
MLI,8,fiscal,0.4023848413010536,0.4,0.4,0.16095393652042145,5,True
MLI,8,monetary,0.6335000483928904,0.4,0.4,0.25340001935715617,2,True
MLT,8,external,0.5737762334867256,0.2,0.2,0.11475524669734512,4,True
MLT,8,fiscal,0.8240075959711682,0.4,0.4,0.32960303838846733,4,True
