country_code_epi,country_code,country_name,epi_epi,epi_cch,epi_eco,epi_hlt,epi_bdh,epi_agr,epi_fsh,epi_wrs,year,epi_mkp,epi_mpe,epi_mhp
566,NGA,Nigeria,37.9,43.9,44.2,20.3,47.1,47.9,63.4,15.0,2024,,,0.4
807,MKD,North Macedonia,54.3,69.8,48.7,36.5,57.9,41.9,,0.8,2022,,,
807,MKD,North Macedonia,50.3,51.3,55.7,39.3,53.0,46.7,,42.2,2024,,,
578,NOR,Norway,59.3,43.9,57.6,92.2,71.2,25.5,39.7,64.3,2022,,,
578,NOR,Norway,69.9,52.6,72.2,86.7,71.6,52.3,54.2,80.8,2024,93.9,62.0,11.3
512,OMN,Oman,30.7,23.2,33.5,39.0,20.2,67.3,35.6,13.4,2022,,,
512,OMN,Oman,51.3,32.6,64.5,50.1,56.2,70.7,88.8,85.7,2024,73.7,100.0,65.8
586,PAK,Pakistan,24.6,16.9,37.8,11.4,37.4,28.6,23.6,0.1,2022,,,
586,PAK,Pakistan,25.5,30.0,29.5,13.1,25.3,46.8,62.2,21.8,2024,0.0,50.0,0.7
591,PAN,Panama,50.5,43.5,57.5,49.0,83.7,33.2,33.2,23.1,2022,,,
591,PAN,Panama,52.9,41.9,59.1,55.1,56.6,50.0,71.6,42.0,2024,76.8,88.1,23.5
598,PNG,Papua New Guinea,24.8,25.4,21.9,29.9,16.3,15.6,35.5,0.0,2022,,,
598,PNG,Papua New Guinea,36.9,37.7,36.3,37.2,19.8,61.8,88.6,11.1,2024,0.0,100.0,3.5
600,PRY,Paraguay,40.9,30.1,48.9,44.9,64.3,69.4,,0.7,2022,,,
600,PRY,Paraguay,39.5,31.9,44.4,39.7,47.5,71.6,,12.4,2024,,,
604,PER,Peru,39.8,32.2,45.2,43.1,54.5,30.7,45.2,41.0,2022,,,
604,PER,Peru,46.5,40.7,56.0,36.1,48.6,45.3,85.0,63.3,2024,92.1,53.4,16.6
608,PHL,Philippines,28.9,16.9,38.6,31.1,54.2,29.6,34.8,0.8,2022,,,
608,PHL,Philippines,32.1,32.2,33.9,28.7,24.6,72.3,76.4,12.6,2024,19.4,53.1,12.5
616,POL,Poland,50.6,38.8,60.0,53.0,87.3,42.7,11.0,61.5,2022,,,
